61206
(-20,0,-20) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-20) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-19.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-19.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-20) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-19.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-19.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-19.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-19.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-19.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-19.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-19.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-19.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-19.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-19.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-18) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-17.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-17.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-18) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-17.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-17.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-17.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-17.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-17.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-17.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-17.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-17.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-17.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-17.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-16) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-15.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-15.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-16) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-15.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-15.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-15.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-15.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-15.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-15.6) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-15.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-15.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-15.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-15.2) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-14.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-14.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-14.8) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-14.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-14.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-14.4) (-0.57735, 0.57735, -0.57735) (0, 0)
(-19.6,0,-14) (-0.57735, 0.57735, -0.57735) (0, 0)
(-20,0,-14) (-0.57735, 0.57735, -0.57735) (0, 0)
